Battery_Temp_C,CPU_Temp_C,Ambient_Temp_C,CPU_Usage_Pct,GPU_Usage_Pct,RAM_Usage_GB,Storage_IO_MBps,Battery_Level_Pct,Charging_Voltage_mV,Charging_Current_mA,Is_Charging,Data_Throughput_Mbps,GPS_Active,Screen_Brightness_Pct,Refresh_Rate_Hz,Touch_Events_Per_Sec,Screen_On_Time_Mins,Background_Apps_Count,Overheating_Status
40.84,36.23,28.13,52.32,92.97,2.63,33.61,29.89,4085.01,1237.84,0,13.72,0,17,90,4.89,65.57,1,0
37.49,40.04,20.18,60.34,11.22,10.89,14.3,84.58,3699.73,1062.64,0,1.48,0,84,60,39.59,325.33,7,0
37.48,34.25,34.62,87.57,37.61,11.55,1.77,86.5,3613.73,3112.66,0,15.89,0,21,60,22.19,6.74,34,0
39.71,45.4,19.89,91.58,73.51,2.34,26.79,69.66,3909.88,4750.86,0,5.8,0,49,90,36.79,420.97,46,0
28.63,53.07,38.9,28.71,82.21,3.67,29.92,34.47,3558.34,1766.11,0,16.71,0,25,120,28.05,48.11,12,0
37.59,40.37,41.31,89.38,51.79,7.2,6.61,66.79,3560.42,691.03,1,0.42,0,33,60,28.44,338.06,44,0
38.17,54.8,17.89,87.75,85.21,2.9,7.29,80.0,4149.58,3811.79,1,60.64,1,86,120,26.18,483.96,9,0
40.07,41.04,37.22,9.05,86.69,9.03,5.87,87.21,4306.13,4814.89,0,15.48,1,67,60,18.25,441.12,18,0
38.08,43.64,34.55,93.88,79.13,3.41,5.8,65.82,3723.24,2218.58,0,8.94,1,0,120,35.83,86.87,36,0
31.05,46.09,31.42,49.15,47.99,7.77,22.33,6.03,4219.94,4920.15,0,34.6,0,23,60,7.85,493.21,7,0
34.25,36.77,24.17,95.09,94.97,4.53,17.27,65.81,3648.86,1735.72,0,15.24,0,88,60,20.5,297.53,42,0
42.51,35.13,43.21,64.52,31.91,3.91,7.04,45.99,3628.12,4921.89,0,27.26,0,29,120,49.57,295.82,7,0
34.69,29.57,35.07,22.09,85.51,11.26,4.63,2.72,3866.03,1925.95,0,0.18,1,99,90,9.3,24.0,6,0
34.64,34.85,28.87,92.35,5.44,5.05,7.29,74.81,4104.82,2293.08,0,6.33,1,93,120,3.57,485.44,32,0
35.25,44.32,25.84,85.16,9.29,10.55,42.44,27.98,4216.28,3142.74,0,2.07,0,12,120,29.01,268.8,17,0
42.45,46.55,17.37,18.81,15.02,5.41,16.18,27.65,3543.79,1277.53,0,4.83,0,78,120,57.76,477.38,42,0
33.48,49.91,16.36,95.9,4.6,5.03,45.49,86.04,3984.48,853.44,0,16.66,0,16,120,21.41,441.61,8,0
44.9,40.18,15.37,21.04,8.86,7.64,53.24,45.82,3775.17,1403.25,0,1.46,1,95,90,33.98,59.91,21,0
31.19,36.63,33.58,94.06,73.29,8.82,8.58,12.36,3555.71,3320.58,0,13.6,1,0,60,38.37,112.76,2,0
40.02,35.56,17.51,39.29,94.15,7.21,23.72,76.57,3845.57,1918.77,0,2.47,0,19,90,53.03,50.82,49,0
46.71,51.87,37.8,48.76,80.28,3.01,1.84,97.99,3795.89,3475.41,0,19.75,0,57,120,20.61,544.25,14,0
38.7,44.0,24.88,24.91,10.96,3.81,17.14,92.37,3946.05,3439.85,0,1.18,0,87,60,5.69,369.43,25,0
40.83,46.98,34.27,78.54,31.42,10.47,17.16,51.34,4350.68,3194.23,0,3.83,0,21,120,8.55,177.16,20,0
38.86,31.81,23.12,97.41,63.9,7.56,13.41,83.37,4193.03,1318.43,0,16.93,0,64,120,9.42,366.46,13,0
33.8,49.33,33.94,61.72,33.07,3.35,7.06,21.29,3647.07,2670.03,0,18.62,0,8,120,42.13,77.14,29,0
36.72,43.45,18.15,40.25,80.51,1.41,13.99,22.36,3517.73,911.2,0,3.69,0,32,60,46.09,592.84,48,0
41.11,44.97,28.99,50.47,85.28,2.73,6.76,3.33,4249.84,3366.04,1,4.5,1,4,120,37.65,359.72,31,0
35.65,49.54,26.91,48.55,3.56,9.16,26.46,71.88,4481.0,4728.09,0,7.91,0,98,90,14.29,408.12,48,0
47.5,29.83,24.67,95.07,50.54,2.59,8.28,35.7,3976.27,2168.88,0,2.52,0,67,120,19.87,315.49,44,0
34.22,44.09,25.43,12.99,68.86,8.85,25.26,95.05,4128.79,1586.15,0,7.2,0,74,120,52.54,504.49,40,0
43.4,49.58,42.54,97.99,78.49,10.53,23.79,97.65,3523.9,3108.21,0,5.85,0,74,90,45.3,144.92,40,0
34.53,41.55,20.51,25.01,78.32,4.06,2.22,93.53,4149.68,1416.72,0,50.51,0,6,120,44.49,471.81,14,0
32.54,38.41,29.89,67.22,64.05,2.22,41.51,23.5,4073.18,1454.83,0,3.17,0,35,120,32.45,209.78,9,0
32.29,33.24,26.04,77.78,0.82,2.91,47.62,98.89,4063.98,1343.65,1,2.56,0,7,60,1.93,416.76,6,0
33.56,33.47,32.75,81.16,14.62,9.56,4.25,79.06,4199.45,1708.8,0,16.51,1,59,90,7.21,148.78,8,0
36.72,29.45,17.22,77.19,47.5,10.47,0.45,79.14,4370.19,4924.02,0,37.5,0,56,120,31.87,396.79,28,0
35.4,52.1,30.61,13.61,65.15,2.76,12.0,78.93,4339.96,1112.43,0,59.71,1,50,120,40.59,442.31,48,0
40.08,49.79,30.87,26.38,27.26,3.59,34.68,43.2,3776.47,4947.27,1,19.18,1,42,120,36.17,531.23,17,0
29.91,57.37,38.53,15.38,17.92,7.14,20.34,9.01,4464.51,4436.57,0,0.63,1,81,90,50.49,183.99,4,0
43.66,41.54,34.61,48.0,23.74,7.64,6.52,61.94,3871.85,2083.11,1,3.78,0,73,120,47.83,158.67,6,0
35.03,36.59,23.99,60.57,54.57,4.13,16.83,5.26,4344.77,570.59,1,14.67,0,29,120,8.11,176.28,40,0
33.81,53.25,38.03,79.49,57.4,1.7,2.26,41.21,4414.24,1407.06,0,15.97,1,3,120,18.2,563.74,43,0
31.14,57.26,16.87,56.49,16.81,6.97,20.58,53.69,3588.81,1066.69,0,2.77,0,94,120,22.09,562.84,11,0
38.24,40.62,44.64,73.65,34.64,11.67,0.58,10.92,4374.24,3869.84,0,0.62,0,36,60,55.24,258.32,30,0
38.49,41.74,41.3,11.48,74.18,8.29,46.39,46.66,3652.89,1827.72,0,19.13,1,36,120,26.4,457.42,17,0
24.94,32.69,18.38,64.39,90.21,9.6,23.45,87.01,4206.79,4976.8,0,3.21,0,74,120,48.31,318.57,39,0
40.86,51.81,15.08,11.89,18.98,11.98,15.43,48.75,3890.42,3843.25,0,52.13,0,77,120,51.69,126.05,30,0
31.97,30.04,15.22,8.51,47.2,7.16,30.04,59.81,3764.26,3168.29,0,0.39,0,64,60,14.66,182.89,41,0
36.09,42.45,25.96,94.41,52.48,10.98,59.69,13.52,3684.44,1051.35,0,4.98,0,66,120,16.47,502.17,49,0
41.12,55.29,34.24,14.83,89.83,5.1,59.13,78.9,4360.89,4909.79,0,21.07,0,25,60,57.18,151.18,8,0
36.95,28.07,17.97,43.58,59.14,6.87,8.31,88.87,3582.6,1842.9,1,10.31,0,19,90,54.37,309.49,33,0
34.55,43.4,30.14,29.39,32.12,6.06,42.92,8.55,4457.47,1257.66,0,34.09,0,39,60,38.32,269.51,24,0
37.09,42.58,23.52,5.11,31.23,4.59,59.24,93.9,4159.31,4576.56,0,1.65,0,79,60,57.29,164.48,11,0
40.1,34.1,25.7,56.52,5.17,7.89,6.26,34.84,4037.87,1129.41,0,12.24,0,44,90,55.62,309.29,5,0
27.82,43.48,30.08,13.2,24.97,3.42,119.14,29.14,3662.68,2805.96,0,40.96,1,59,120,15.1,501.16,22,0
36.87,28.47,34.28,87.75,64.82,8.11,5.95,65.62,4169.95,4822.07,0,0.94,0,53,120,51.02,579.07,44,0
28.61,41.62,32.22,87.56,76.84,2.55,0.82,61.37,4221.32,1347.05,0,1.38,0,0,90,21.29,89.8,7,0
39.75,39.42,44.22,56.33,82.75,9.73,3.56,39.03,3993.89,4026.48,0,20.79,0,12,90,14.76,592.38,36,0
36.34,41.03,39.48,95.37,95.9,10.01,34.43,18.19,3794.35,2016.95,0,3.9,0,75,90,20.16,403.79,37,0
36.08,40.14,18.14,81.87,5.2,1.06,26.76,27.83,3968.04,2919.0,1,16.19,0,32,90,12.29,461.8,9,0
36.09,49.44,24.82,74.84,19.47,8.78,1.19,85.23,4142.63,4979.64,0,5.31,0,46,120,36.53,584.77,44,0
30.67,37.78,38.25,10.83,90.34,5.99,10.0,85.49,4212.89,2256.19,0,0.07,0,39,120,16.47,433.39,28,0
38.99,54.06,41.78,81.09,88.44,8.64,20.49,28.34,3578.49,2058.66,0,1.98,1,20,90,3.45,311.68,16,0
42.55,36.22,35.02,88.39,75.42,9.17,55.3,61.19,3600.15,3095.26,0,5.26,0,45,90,53.45,256.96,42,0
27.19,42.27,15.17,94.91,44.26,5.71,4.79,38.94,4005.28,2877.95,1,6.64,1,36,120,43.39,527.56,2,0
46.39,45.33,24.83,42.24,95.25,1.53,28.63,41.45,4071.02,2350.34,0,6.41,1,49,90,1.65,103.17,39,0
32.72,58.46,30.23,86.44,60.6,4.76,20.0,75.73,4276.46,1440.77,0,5.84,0,11,120,15.02,42.24,29,0
30.65,45.14,16.62,36.54,0.62,10.45,4.6,56.55,3631.42,3540.98,0,17.55,0,16,120,21.7,557.41,47,0
34.96,35.55,17.91,40.47,55.45,7.39,6.79,63.3,3739.97,3658.79,0,7.66,0,47,120,4.63,404.95,35,0
27.13,36.66,27.96,77.99,72.35,6.39,5.06,20.15,3531.42,1354.45,0,0.17,0,87,60,59.28,22.42,49,0
40.38,36.75,35.41,51.74,96.68,10.14,10.87,94.33,3609.81,1149.93,1,7.09,1,0,120,26.33,85.95,24,0
27.56,34.97,20.03,45.96,15.56,11.93,24.1,67.14,3998.86,922.22,1,31.07,0,5,90,4.48,192.48,35,0
36.96,33.21,22.13,81.31,21.01,2.66,10.0,32.14,4243.68,553.35,0,24.19,0,7,120,44.91,83.28,30,0
30.85,30.98,32.93,51.05,44.13,6.29,19.2,25.65,3564.69,4507.07,0,8.62,1,34,60,17.67,595.93,2,0
34.08,47.87,27.77,62.05,20.39,11.81,29.18,13.83,3894.99,1109.02,0,9.35,0,25,90,10.51,121.66,10,0
24.23,50.74,38.11,53.87,63.97,1.46,36.14,98.32,3975.54,4460.95,0,35.7,0,1,120,6.19,522.92,38,0
31.78,49.56,36.41,87.09,86.16,9.52,15.22,6.4,3701.24,1453.94,0,11.29,0,85,60,15.5,477.38,18,0
33.38,49.48,35.21,61.56,6.35,5.28,5.04,11.82,4046.54,3702.51,1,27.76,0,98,120,31.74,318.62,41,0
36.58,46.91,42.88,11.74,63.62,7.88,4.61,59.6,3527.13,2168.04,0,14.2,0,89,90,54.45,374.11,14,1
39.21,45.83,32.02,74.22,48.16,10.59,87.74,73.21,3976.51,4305.24,0,4.19,0,93,60,15.6,285.46,35,0
29.16,48.98,17.35,73.24,80.31,7.79,3.01,40.09,4108.96,3187.15,1,8.48,0,42,90,2.79,462.97,19,0
35.2,38.69,21.71,33.08,54.26,6.25,2.02,34.7,3628.35,3523.64,0,1.47,0,58,60,25.82,52.84,27,0
45.81,61.34,41.95,94.57,36.5,5.41,71.28,12.89,3952.59,4163.7,0,1.06,0,29,60,44.29,499.59,37,0
37.26,33.57,26.36,43.19,31.21,1.29,39.81,83.59,4363.13,2188.26,0,1.05,0,69,90,6.93,328.48,38,0
30.89,32.14,43.17,69.2,49.37,5.48,21.25,85.56,4302.95,507.82,0,3.37,1,43,60,26.79,110.5,6,0
38.11,51.02,28.95,6.11,74.84,1.46,8.02,53.98,4055.65,1410.73,0,5.52,1,27,90,12.43,314.45,36,0
34.05,36.58,42.49,24.62,24.02,2.14,39.78,70.75,3606.79,3540.31,1,24.35,0,31,90,17.99,587.88,6,0
28.96,36.75,27.23,34.94,77.24,7.72,6.4,23.43,4454.6,3623.06,1,7.45,0,42,90,5.32,190.91,11,0
35.04,42.43,28.22,96.56,78.21,4.01,2.63,70.25,4184.11,1427.5,1,21.84,1,59,90,23.2,511.26,1,0
38.71,34.84,36.37,70.66,8.62,7.72,0.98,45.94,4373.43,4460.2,0,8.5,0,34,90,35.26,70.92,4,0
38.86,42.23,40.59,90.38,15.65,6.54,24.32,47.44,3712.48,1739.79,0,1.27,0,94,60,54.03,68.09,16,1
35.69,38.21,25.3,78.4,82.36,3.19,1.65,12.64,4463.75,4979.44,0,18.81,0,44,60,55.51,552.04,45,0
36.1,36.32,42.73,65.02,6.02,6.58,6.21,51.0,3515.22,960.27,1,11.67,0,3,90,14.06,191.27,23,0
34.01,30.26,37.17,87.87,83.82,3.31,14.04,66.54,3614.23,3626.56,0,47.8,0,52,90,11.28,384.07,25,0
34.9,37.2,16.11,25.97,4.13,4.51,45.46,99.4,3568.45,657.05,0,3.85,0,89,90,52.33,267.78,38,0
33.11,58.34,19.14,69.59,69.02,9.89,2.23,32.6,4437.46,2469.06,0,3.29,0,90,120,28.06,550.67,0,0
44.44,47.77,28.19,87.77,87.12,2.62,24.55,5.04,4245.82,740.65,0,0.14,0,26,120,17.24,409.85,38,0
37.01,29.16,40.8,34.65,26.24,8.08,6.36,2.4,4201.69,3499.52,0,5.41,0,93,60,29.85,138.22,30,1
31.85,36.49,44.78,85.37,3.42,9.15,11.64,40.25,3863.28,4172.35,0,14.29,1,35,60,58.55,373.06,30,0
36.5,43.06,24.97,97.43,89.88,1.37,7.44,79.42,3958.27,4496.01,0,11.87,0,50,120,8.62,243.62,5,0
39.63,38.94,18.68,24.49,11.1,9.2,5.93,5.84,3637.02,2420.88,0,20.26,0,35,120,41.83,490.16,23,0
30.16,37.57,39.45,69.34,61.67,7.7,2.58,12.49,3661.4,3021.59,1,19.89,0,36,90,24.48,241.91,27,0
28.99,36.14,22.76,81.91,63.44,2.03,30.84,94.51,3841.16,2006.42,0,16.22,0,12,90,43.82,255.79,46,0
34.85,41.2,34.12,8.4,63.74,4.36,2.28,46.8,3962.25,2877.85,1,16.21,0,73,120,52.15,89.05,41,0
38.68,44.09,23.27,86.05,84.19,6.77,3.32,26.37,4067.4,1141.45,0,13.78,0,90,60,12.86,221.75,14,0
32.29,47.0,32.34,5.82,99.23,4.39,4.96,74.53,4399.37,788.83,1,38.27,0,51,60,40.22,166.83,9,0
36.77,43.26,37.42,30.48,30.13,11.83,15.97,5.74,4210.47,555.25,0,9.18,0,86,60,52.84,208.84,10,0
45.68,44.25,27.9,61.45,17.51,7.71,4.96,1.85,4357.71,3670.48,0,20.02,0,36,90,12.13,16.7,5,0
38.36,60.25,15.93,38.41,35.05,6.67,27.91,17.12,4376.09,2106.61,0,13.52,0,34,90,14.35,289.69,15,0
33.68,49.2,24.62,87.95,43.17,5.3,9.51,25.25,4374.95,2097.71,0,10.86,1,90,90,11.5,185.63,20,0
33.76,48.57,41.14,42.61,28.96,5.78,33.68,78.06,3670.58,1464.19,0,6.48,1,4,60,17.27,267.4,4,0
35.86,49.28,30.49,91.02,3.58,5.91,4.26,13.73,4139.3,3732.82,0,26.11,0,89,60,39.45,438.57,2,0
28.44,54.87,17.39,72.58,10.55,3.75,6.0,18.7,3707.49,779.7,1,15.28,0,38,60,53.55,446.49,16,0
32.58,23.22,25.98,98.06,68.44,5.67,18.86,74.65,3615.97,4027.2,1,9.35,0,83,60,24.07,335.8,48,1
39.5,47.79,31.74,9.85,41.52,1.75,7.18,50.1,4470.42,2549.96,0,23.41,0,95,90,32.14,356.5,41,0
40.02,40.2,15.66,17.21,3.19,8.93,35.29,78.65,4341.29,1945.32,1,25.83,0,46,60,31.86,554.03,7,0
42.34,50.77,23.91,37.98,2.11,10.22,13.98,7.3,4098.91,2308.97,0,15.33,0,30,60,46.69,498.35,36,0
41.96,41.96,37.97,96.5,43.84,5.46,82.06,70.56,4011.81,3838.21,0,19.09,0,62,60,53.15,377.78,32,0
33.0,38.01,26.81,12.29,88.96,3.11,30.43,97.38,4284.45,4521.36,0,12.72,0,97,90,55.55,511.52,37,0
36.88,40.64,44.9,36.18,49.88,6.2,3.55,31.36,4012.51,2433.9,0,6.85,1,5,90,56.66,457.59,42,0
37.24,47.06,17.04,80.5,69.01,9.73,1.09,97.78,4206.37,3815.44,0,43.83,0,56,90,37.79,582.49,49,0
38.83,29.55,30.23,79.85,61.14,9.34,5.54,42.28,3935.16,1902.65,0,0.31,0,39,120,23.17,353.38,37,0
39.47,54.49,37.64,36.6,62.67,8.14,13.86,54.68,4057.59,3005.86,0,2.98,0,27,120,38.36,382.49,3,0
37.67,34.4,24.31,41.53,50.69,9.46,0.0,76.43,4314.04,3288.98,1,6.53,0,89,90,28.09,58.41,49,0
38.36,38.0,29.47,12.43,58.17,5.72,11.19,51.17,3641.16,2453.84,1,14.43,1,34,90,37.9,186.55,44,0
37.99,34.54,42.05,95.01,10.71,9.47,49.43,60.38,3610.18,638.63,0,6.01,0,19,120,38.16,214.97,28,0
31.36,39.45,19.95,56.13,74.45,11.02,10.32,66.11,4243.49,1198.28,0,5.97,0,36,120,11.76,147.63,31,0
33.77,47.9,31.99,67.48,42.01,8.85,39.85,6.67,3947.13,1633.5,1,13.07,0,99,90,49.59,311.41,39,0
41.61,46.93,37.48,69.96,21.19,2.05,5.58,53.81,3532.88,3213.63,1,9.92,0,18,120,18.0,508.32,38,0
35.79,30.25,40.05,13.44,2.49,3.54,2.91,27.58,4146.58,2651.52,0,5.32,1,24,90,35.9,165.59,10,0
30.87,37.26,39.57,98.62,40.29,1.16,36.02,7.19,4378.87,4064.58,0,6.58,0,81,90,36.25,297.38,27,0
31.62,55.0,25.19,68.48,0.56,5.92,4.34,43.84,3631.15,2116.84,1,1.31,0,16,120,44.71,398.37,33,0
36.99,53.52,22.82,78.98,66.13,10.13,21.37,36.04,4220.48,4952.4,0,60.98,0,42,60,51.1,276.4,2,0
42.71,47.56,42.67,93.11,9.27,1.77,34.94,78.84,4375.17,3391.4,0,3.47,1,20,60,37.6,68.28,35,0
32.16,34.05,25.07,52.89,86.57,8.37,15.41,10.38,4152.37,1164.3,0,3.56,0,89,60,0.77,49.39,33,0
46.6,47.53,43.34,60.06,84.73,9.74,6.69,8.8,4218.08,2680.34,0,2.83,0,37,90,45.93,545.36,3,0
39.18,40.23,42.34,92.45,53.61,6.77,25.58,68.2,3826.17,2959.55,0,12.72,0,49,90,10.02,452.77,41,0
36.15,53.32,40.9,44.39,20.8,2.21,14.17,54.21,4211.76,3658.61,1,2.93,0,99,60,5.14,322.56,22,1
35.29,49.02,39.45,72.89,54.77,2.19,12.96,28.98,4372.25,2454.88,0,1.78,0,67,60,8.38,270.57,42,0
37.43,45.67,15.74,75.01,91.98,6.21,63.42,24.12,4212.05,4846.91,0,4.77,1,71,120,36.83,119.32,1,0
37.7,40.69,24.27,69.41,3.11,1.56,28.29,7.91,4216.66,3954.54,1,26.88,0,70,60,27.09,586.51,16,0
31.6,42.47,26.87,25.63,70.94,10.79,56.67,49.94,3996.06,4798.31,0,30.97,1,67,90,47.34,61.84,27,0
46.74,38.73,41.5,48.56,74.11,8.76,2.22,34.22,4013.67,676.03,1,18.94,0,71,120,25.2,198.69,28,0
41.29,47.41,24.39,87.57,48.84,8.34,22.31,94.62,4451.8,1003.95,0,18.42,0,92,120,52.66,598.53,49,0
38.36,34.84,44.02,59.18,78.99,6.78,11.25,49.34,3806.55,2131.73,1,47.59,0,91,120,15.29,76.04,22,1
22.97,42.31,31.09,41.35,20.33,9.29,44.65,97.95,4115.55,4383.56,0,2.89,0,28,60,24.77,176.01,41,0
37.52,52.15,44.05,54.49,68.12,11.39,53.27,90.68,4374.54,1027.35,0,23.84,0,21,90,47.32,326.61,2,0
35.85,50.77,36.31,42.44,38.42,5.4,6.34,78.07,3565.01,4596.65,1,20.05,1,22,90,17.07,552.26,35,0
35.11,38.79,20.72,15.32,91.12,5.13,0.28,38.08,4432.8,1421.91,0,44.76,1,18,120,35.1,157.97,2,0
28.15,38.09,44.09,95.87,23.35,4.31,47.53,24.04,3785.44,1305.42,0,44.11,1,4,120,32.39,453.46,47,0
36.17,49.8,33.93,39.4,68.67,4.92,24.65,15.05,4048.12,2330.02,1,14.8,0,12,90,31.02,205.27,10,0
32.95,37.66,24.21,99.05,63.34,10.45,19.44,69.1,3882.88,3170.39,0,30.31,1,40,120,33.8,317.82,2,0
33.57,38.56,35.79,27.79,14.02,6.43,4.73,27.38,3758.24,2076.07,0,33.23,0,63,60,43.62,244.34,28,0
25.87,45.12,18.05,41.99,85.83,4.81,30.91,88.43,3696.73,1287.82,0,6.38,0,23,120,7.58,300.1,9,0
34.29,33.55,17.56,87.42,0.66,9.31,4.85,4.43,4069.46,1839.12,0,43.86,0,82,120,14.57,127.1,45,0
32.04,46.96,26.88,50.34,13.69,4.22,27.75,25.13,4208.87,2777.54,0,19.06,0,10,120,47.66,81.46,11,0
38.73,49.02,38.97,11.34,63.34,11.58,3.53,47.29,3638.55,2303.42,0,12.83,0,15,60,43.74,125.95,9,0
35.14,45.97,44.48,87.18,18.95,3.32,38.81,73.14,4468.07,4681.59,0,0.87,0,27,120,1.36,125.87,44,0
39.49,44.41,19.61,31.15,39.81,5.4,12.76,77.99,4385.27,2687.85,1,5.76,1,56,60,39.68,78.56,35,0
48.67,46.59,35.78,53.09,47.53,5.63,11.1,18.62,4241.96,3702.89,0,16.67,0,45,60,56.92,332.71,36,1
34.87,39.47,37.94,18.32,20.66,4.62,25.21,55.62,3634.76,4690.82,1,3.75,0,71,120,19.72,454.91,15,0
39.86,51.05,24.69,16.18,88.9,6.46,1.56,98.73,4400.81,3283.07,0,23.18,1,27,90,48.71,501.51,17,0
28.15,53.68,34.0,78.22,75.09,2.3,19.17,11.23,4115.89,2204.26,0,5.96,0,60,120,32.33,398.62,33,0
38.19,33.72,17.64,63.32,47.36,8.19,30.26,70.77,4449.49,3421.38,0,0.37,0,89,60,55.52,526.93,42,0
31.33,54.11,25.57,53.07,9.42,8.59,15.87,93.0,4332.36,4168.82,0,4.75,0,38,60,15.78,406.13,43,0
30.54,50.49,15.95,16.11,57.73,4.36,9.09,76.53,4072.84,4090.17,0,22.63,0,90,90,49.66,191.37,34,0
31.88,20.71,31.04,67.84,9.88,10.79,0.42,41.99,3738.35,849.2,0,4.77,1,51,120,1.51,340.32,36,0
37.92,45.41,32.42,70.34,7.25,8.86,5.97,51.89,3949.98,1594.78,0,17.01,0,3,90,21.41,281.21,33,0
37.21,41.39,18.35,54.54,46.73,10.89,7.05,78.97,4323.14,4749.94,0,10.81,0,76,120,45.59,283.42,46,0
39.29,38.96,16.17,94.76,18.69,4.94,1.37,27.24,3722.18,4188.37,0,14.5,0,83,90,52.9,33.16,30,0
42.64,44.48,22.97,74.22,76.91,8.97,0.43,27.3,3666.04,4635.35,0,23.91,0,90,90,14.33,479.28,33,0
41.66,47.87,26.73,75.75,75.0,3.36,126.76,35.93,3860.72,1823.44,0,6.65,0,48,60,11.43,553.11,43,0
34.82,39.14,15.83,40.64,77.4,7.3,0.44,83.04,4117.96,3872.66,0,1.24,0,21,60,6.68,214.97,37,0
26.16,44.28,15.03,6.72,4.72,6.83,22.18,25.46,3818.42,4783.01,0,7.67,0,55,60,29.49,154.07,30,0
41.88,40.74,32.97,59.34,31.66,1.08,39.56,44.12,3514.3,4176.79,0,6.42,0,18,90,43.62,171.08,10,0
28.09,28.8,23.21,80.77,86.33,6.34,6.61,7.63,4052.23,3313.42,0,2.72,1,35,90,36.28,436.24,44,0
32.34,44.21,18.48,71.93,30.07,7.74,10.69,77.99,4102.29,2797.11,0,5.56,0,25,120,18.41,274.34,3,0
43.79,52.4,38.92,92.5,66.37,3.73,3.2,30.82,3518.67,1536.55,0,7.96,0,9,120,17.89,211.79,23,0
40.74,33.44,43.31,86.74,97.69,11.92,8.69,39.09,4358.53,4902.38,0,36.01,0,97,120,1.82,264.72,41,1
37.74,40.25,40.26,12.08,10.34,3.07,22.93,44.75,4002.51,2951.82,1,35.2,0,91,120,10.42,68.13,8,1
32.18,59.44,28.35,58.75,59.71,7.68,0.95,91.94,3926.2,3376.23,0,10.14,0,79,90,1.45,164.19,37,0
34.36,41.59,36.09,53.63,26.55,2.36,23.78,10.77,3752.24,1222.55,1,7.72,0,51,60,36.53,226.05,23,0
36.76,31.74,19.42,49.1,11.63,7.6,6.33,19.17,4125.49,2637.13,0,39.9,0,61,60,50.79,431.17,27,0
34.78,25.66,44.95,84.52,61.08,7.35,12.24,81.38,4046.28,3156.26,0,25.85,0,70,120,7.44,456.16,18,0
43.91,31.11,16.38,63.09,93.84,3.72,5.65,87.62,3754.38,2846.34,0,19.39,0,19,60,37.68,85.33,32,0
37.01,54.64,21.88,70.71,71.9,9.92,4.27,5.25,4325.41,4286.51,0,21.49,0,81,60,3.98,205.13,41,0
25.28,33.28,16.24,34.55,87.6,9.17,63.68,99.49,4386.49,4906.76,1,48.6,0,19,90,3.61,102.48,19,0
38.92,32.75,31.66,92.06,29.68,7.35,44.09,59.64,4189.75,2475.6,0,6.71,0,31,90,2.89,86.28,47,0
44.74,43.37,21.37,65.86,0.92,11.62,16.69,70.09,3521.24,2616.14,1,0.84,1,63,90,30.35,481.31,30,0
33.7,37.49,41.77,86.47,95.86,3.75,1.94,94.91,3652.1,3575.51,0,10.55,1,99,60,8.38,216.54,26,1
32.55,50.85,16.02,42.01,69.65,3.68,3.28,51.98,4036.02,3214.72,1,13.77,0,46,90,21.85,308.32,42,0
27.04,30.59,37.21,31.41,22.48,5.37,3.16,16.94,4448.63,4297.17,0,58.3,0,94,120,44.93,295.85,43,0
